"laptop_ID","Company","Product","TypeName","Inches","ScreenResolution","RamGB","OpSys","Weight","Price_euros","Procesor","TaktGHz","Karta Graficzna","Memory","Memory_type"
"36","Lenovo","IdeaPad 120S-14IAP","Notebook","14","1366x768","4","Windows 10","1.44","249","Intel","1.1","Intel HD","64","Flash_Storage"
"37","Acer","Aspire 3","Notebook","15.6","1366x768","4","Linux","2.1","367","Intel Core-i3","2.7","Intel HD","1024","HDD"
"38","Dell","Inspiron 5770","Notebook","17.3","IPS Panel Full HD 1920x1080","8","Windows 10","2.8","979","Intel Core-i5","1.6","AMD Radeon","1024","HDD"
"39","HP","250 G6","Notebook","15.6","1366x768","4","Windows 10","1.86","488.69","Intel Core-i5","2.5","Intel HD","1024","HDD"
"40","HP","ProBook 450","Notebook","15.6","Full HD 1920x1080","8","Windows 10","2.1","879","Intel Core-i5","1.6","Nvidia GeForce","256","SSD"
"41","Asus","X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux)","Notebook","15.6","Full HD 1920x1080","4","Linux","2","389","Intel Core-i3","2","Intel HD","1024","HDD"
"42","Dell","Inspiron 7577","Gaming","15.6","IPS Panel Full HD 1920x1080","16","Windows 10","2.65","1499","Intel Core-i7","2.8","Nvidia GeForce","1024","HDD"
"43","Asus","X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce","Notebook","15.6","1366x768","8","Linux","2.3","522.99","Intel Core-i5","2.5","Nvidia GeForce","1024","HDD"
"44","Acer","Aspire A515-51G","Notebook","15.6","IPS Panel Full HD 1920x1080","4","Windows 10","2.2","682","Intel Core-i5","1.6","Intel UHD","256","SSD"
"45","Dell","Inspiron 7773","2 in 1 Convertible","17.3","Full HD / Touchscreen 1920x1080","12","Windows 10","2.77","999","Intel Core-i5","1.6","Nvidia GeForce","1024","HDD"
"46","Apple","MacBook Pro","Ultrabook","13.3","IPS Panel Retina Display 2560x1600","8","macOS","1.37","1419","Intel Core-i5","2.0","Intel Iris","256","SSD"
"47","Lenovo","IdeaPad 320-15ISK","Notebook","15.6","1366x768","4","No OS","2.2","369","Intel Core-i3","2","Intel HD","128","SSD"
"48","Asus","Rog Strix","Gaming","17.3","Full HD 1920x1080","8","Windows 10","3.2","1299","AMD Ryzen","3","AMD Radeon","1024","HDD"
"49","Dell","Inspiron 3567","Notebook","15.6","Full HD 1920x1080","4","Windows 10","2.3","639","Intel Core-i5","2.5","AMD Radeon","256","SSD"
"50","Asus","X751NV-TY001T (N4200/4GB/1TB/GeForce","Notebook","17.3","1366x768","4","Windows 10","2.8","466","Intel","1.1","Nvidia GeForce","1024","HDD"
"51","Lenovo","Yoga Book","2 in 1 Convertible","10.1","IPS Panel Touchscreen 1920x1200","4","Android","0.69","319","Intel","1.44","Intel HD","64","Flash_Storage"
"52","Acer","Aspire A515-51G","Notebook","15.6","IPS Panel Full HD 1920x1080","8","Windows 10","2.2","841","Intel Core-i7","1.8","Nvidia GeForce","256","SSD"
"53","HP","255 G6","Notebook","15.6","Full HD 1920x1080","4","Windows 10","1.86","398.49","AMD Series","2.5","AMD Radeon","256","SSD"
"54","HP","ProBook 430","Notebook","13.3","Full HD 1920x1080","8","Windows 10","1.49","1103","Intel Core-i7","1.8","Intel UHD","512","SSD"
"55","Acer","Aspire 3","Notebook","15.6","1366x768","4","Windows 10","2.4","384","Intel Core-i3","2.4","Intel HD","1024","HDD"
"56","Dell","Inspiron 3576","Notebook","15.6","Full HD 1920x1080","8","Windows 10","2.13","767.8","Intel Core-i7","1.8","AMD Radeon","256","SSD"
"57","HP","15-bs002nv (i3-6006U/4GB/128GB/FHD/W10)","Notebook","15.6","Full HD 1920x1080","4","Windows 10","1.91","439","Intel Core-i3","2","Intel HD","128","SSD"
"58","Asus","VivoBook Max","Notebook","15.6","1366x768","4","Windows 10","2","586.19","Intel Core-i5","2.5","Intel HD","256","SSD"
"59","MSI","GS73VR 7RG","Gaming","17.3","Full HD 1920x1080","16","Windows 10","2.43","2449","Intel Core-i7","2.8","Nvidia GeForce","2048","HDD"
"60","Asus","X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux)","Notebook","15.6","Full HD 1920x1080","4","Linux","2","415","Intel Core-i3","2","Intel HD","256","SSD"
"61","Dell","Inspiron 5770","Notebook","17.3","Full HD 1920x1080","16","Windows 10","2.8","1299","Intel Core-i7","1.8","AMD Radeon","2048","HDD"
"62","Dell","Vostro 5471","Ultrabook","14","Full HD 1920x1080","8","Windows 10","1.7","879","Intel Core-i5","1.6","Intel UHD","256","SSD"
"63","Lenovo","IdeaPad 520S-14IKB","Notebook","14","IPS Panel Full HD 1920x1080","8","No OS","1.7","599","Intel Core-i3","2.7","Intel HD","256","SSD"
"64","Asus","UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10)","Notebook","14","Full HD 1920x1080","8","Windows 10","1.4","941","Intel Core-i5","1.6","Intel UHD","256","SSD"
"66","HP","250 G6","Notebook","15.6","Full HD 1920x1080","8","Windows 10","1.86","690","Intel Core-i5","2.5","Intel HD","256","SSD"
"67","Asus","ZenBook Pro","Ultrabook","15.6","Full HD 1920x1080","16","Windows 10","1.8","1983","Intel Core-i7","2.8","Nvidia GeForce","512","SSD"
"68","HP","250 G6","Notebook","15.6","1366x768","4","Windows 10","1.86","438.69","Intel Core-i3","2","AMD Radeon","500","HDD"
"69","HP","Stream 14-AX040wm","Notebook","14","1366x768","4","Windows 10","1.44","229","Intel","1.6","Intel HD","32","SSD"
"70","Lenovo","V310-15ISK (i5-7200U/4GB/1TB/FHD/W10)","Notebook","15.6","Full HD 1920x1080","4","Windows 10","1.9","549","Intel Core-i5","2.5","Intel HD","1024","HDD"
"71","Asus","FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce","Gaming","17.3","Full HD 1920x1080","12","Linux","3","949","Intel Core-i7","2.8","Nvidia GeForce","1024","HDD"
"72","Microsoft","Surface Laptop","Ultrabook","13.5","Touchscreen 2256x1504","4","Windows 10 S","1.252","1089","Intel Core-i5","2.5","Intel HD","128","SSD"
"73","Dell","Inspiron 5370","Ultrabook","13.3","IPS Panel Full HD 1920x1080","8","Windows 10","1.4","955","Intel Core-i7","1.8","AMD Radeon","256","SSD"
"74","Dell","Inspiron 5570","Notebook","15.6","Full HD 1920x1080","8","Windows 10","2.2","870","Intel Core-i7","1.8","AMD Radeon","256","SSD"
"75","MSI","GL72M 7RDX","Gaming","17.3","Full HD 1920x1080","8","Windows 10","2.7","1095","Intel Core-i5","2.5","Nvidia GeForce","1024","HDD"
"76","Acer","Aspire E5-475","Notebook","14","1366x768","8","Windows 10","2.1","389","Intel Core-i3","2","Intel HD","1024","HDD"
"77","Asus","FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce","Gaming","15.6","Full HD 1920x1080","8","Windows 10","2.2","949","Intel Core-i7","2.8","Nvidia GeForce","1024","HDD"
"78","Lenovo","IdeaPad 320-15IKBN","Notebook","15.6","Full HD 1920x1080","8","No OS","2.2","519","Intel Core-i5","2.5","Intel HD","2048","HDD"
"79","Dell","Inspiron 5570","Notebook","15.6","Full HD 1920x1080","8","Windows 10","2.02","855","Intel Core-i7","1.8","Intel UHD","1024","HDD"
"80","Acer","Aspire A515-51G-32MX","Notebook","15.6","Full HD 1920x1080","4","Windows 10","2.2","530","Intel Core-i3","2.7","Nvidia GeForce","1024","HDD"
"81","HP","ProBook 470","Notebook","17.3","Full HD 1920x1080","8","Windows 10","2.5","977","Intel Core-i5","1.6","Nvidia GeForce","1024","HDD"
"82","Dell","Latitude 5590","Ultrabook","15.6","IPS Panel Full HD 1920x1080","8","Windows 10","1.88","1096.16","Intel Core-i5","1.6","Intel UHD","256","SSD"
"83","Apple","MacBook 12""","Ultrabook","12","IPS Panel Retina Display 2304x1440","8","macOS","0.92","1510","Intel Core-i5","1.3","Intel HD","512","SSD"
"84","HP","ProBook 440","Notebook","14","Full HD 1920x1080","8","Windows 10","1.63","860","Intel Core-i5","1.6","Intel HD","256","SSD"
"85","Lenovo","IdeaPad 320-15AST","Notebook","15.6","Full HD 1920x1080","4","Windows 10","2.2","399","AMD Series","2.5","AMD R","128","SSD"
"86","Acer","Aspire 3","Notebook","15.6","1366x768","4","Windows 10","2.1","395","AMD Series","3","AMD Radeon","1024","HDD"
"87","Dell","Inspiron 7577","Gaming","15.6","IPS Panel Full HD 1920x1080","16","Windows 10","2.65","1349","Intel Core-i7","2.8","Nvidia GeForce","1024","HDD"
"88","HP","Pavilion 15-CK000nv","Ultrabook","15.6","IPS Panel Full HD 1920x1080","8","Windows 10","1.83","699","Intel Core-i7","1.8","Nvidia GeForce","256","SSD"
"89","HP","250 G6","Notebook","15.6","Full HD 1920x1080","8","Windows 10","1.96","598.99","Intel Core-i5","2.5","Intel HD","256","SSD"
"90","Asus","FX503VM-E4007T (i7-7700HQ/16GB/1TB","Gaming","15.6","IPS Panel Full HD 1920x1080","16","Windows 10","2.2","1449","Intel Core-i7","2.8","Nvidia GeForce","1024","HDD"
"91","Dell","XPS 13","Ultrabook","13.3","IPS Panel Full HD 1920x1080","8","Windows 10","1.21","1649","Intel Core-i7","1.8","Intel UHD","256","SSD"
"92","Asus","FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon","Gaming","15.6","Full HD 1920x1080","8","Windows 10","2.45","699","AMD FX","3","AMD Radeon","1024","HDD"
"93","Acer","Aspire 5","Notebook","15.6","Full HD 1920x1080","8","Windows 10","2.2","689","Intel Core-i7","1.8","Nvidia GeForce","1024","HDD"
"94","HP","Probook 430","Notebook","13.3","Full HD 1920x1080","16","Windows 10","1.49","1197","Intel Core-i7","1.8","Intel UHD","512","SSD"
"95","Dell","Inspiron 7577","Gaming","15.6","Full HD 1920x1080","8","Windows 10","2.65","1195","Intel Core-i5","2.5","Nvidia GeForce","256","SSD"
"96","Asus","Zenbook UX430UA","Ultrabook","14","Full HD 1920x1080","8","Windows 10","1.25","1049","Intel Core-i7","2.7","Intel HD","256","SSD"
"97","Acer","Spin 5","2 in 1 Convertible","13.3","IPS Panel Full HD / Touchscreen 1920x1080","8","Windows 10","1.5","847","Intel Core-i5","1.6","Intel UHD","256","SSD"
"98","Dell","Inspiron 3567","Notebook","15.6","Full HD 1920x1080","8","Linux","2.2","599.9","Intel Core-i7","2.7","AMD Radeon","1024","HDD"
"99","Dell","Inspiron 3567","Notebook","15.6","Full HD 1920x1080","4","Linux","2.2","485","Intel Core-i3","2","AMD Radeon","256","SSD"
"100","Asus","X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce","Notebook","15.6","Full HD 1920x1080","6","Windows 10","2","577","Intel Core-i3","2.4","Nvidia GeForce","256","SSD"
"102","HP","Omen 15-ce007nv","Gaming","15.6","IPS Panel Full HD 1920x1080","12","Windows 10","2.62","1249","Intel Core-i7","2.8","Nvidia GeForce","1024","HDD"
"103","HP","15-bs017nv (i7-7500U/8GB/256GB/Radeon","Notebook","15.6","Full HD 1920x1080","8","Windows 10","1.91","719","Intel Core-i7","2.7","AMD Radeon","256","SSD"
"104","HP","15-bw000nv (E2-9000e/4GB/500GB/Radeon","Notebook","15.6","Full HD 1920x1080","4","Windows 10","2.1","349","AMD Series","1.5","AMD Radeon","500","HDD"
"105","Dell","Inspiron 3576","Notebook","15.6","Full HD 1920x1080","8","Linux","2.2","647","Intel Core-i5","1.6","AMD Radeon","1024","HDD"
"106","HP","Envy 13-ad009n","Ultrabook","13.3","IPS Panel Full HD 1920x1080","8","Windows 10","1.38","1119","Intel Core-i7","2.7","Nvidia GeForce","256","SSD"
"107","Microsoft","Surface Laptop","Ultrabook","13.5","Touchscreen 2256x1504","8","Windows 10 S","1.252","1340","Intel Core-i5","2.5","Intel HD","256","SSD"
"108","HP","Pavilion 14-BK001nv","Notebook","14","IPS Panel Full HD 1920x1080","6","Windows 10","1.58","659","Intel Core-i5","2.5","Nvidia GeForce","256","SSD"
"109","Lenovo","Ideapad 310-15ISK","Notebook","15.6","Full HD 1920x1080","4","Windows 10","1.85","414.9","Intel Core-i3","2","Intel HD","1024","HDD"
"110","Asus","UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce","Ultrabook","14","IPS Panel Full HD 1920x1080","8","Windows 10","1.3","1193","Intel Core-i7","2.7","Nvidia GeForce","256","SSD"
"111","MSI","GP62M 7REX","Gaming","15.6","Full HD 1920x1080","16","Windows 10","2.2","1299","Intel Core-i7","2.8","Nvidia GeForce","1024","HDD"
"112","Lenovo","Thinkpad T470","Notebook","14","IPS Panel Full HD 1920x1080","8","Windows 10","1.58","1480","Intel Core-i7","2.7","Intel HD","256","SSD"
"113","Asus","VivoBook S15","Ultrabook","15.6","Full HD 1920x1080","16","Windows 10","1.5","1262","Intel Core-i7","1.8","Nvidia GeForce","1024","HDD"
"114","Dell","XPS 13","Ultrabook","13.3","Quad HD+ / Touchscreen 3200x1800","8","Windows 10","1.23","1379","Intel Core-i7","2.4","Intel Iris","256","SSD"
"115","Lenovo","ThinkPad Yoga","2 in 1 Convertible","13.3","IPS Panel Full HD / Touchscreen 1920x1080","8","Windows 10","1.37","1399","Intel Core-i5","2.5","Intel HD","256","SSD"
"116","HP","Probook 440","Notebook","14","IPS Panel 1366x768","4","Windows 10","1.63","722","Intel Core-i5","1.6","Intel UHD","500","HDD"
"117","Dell","XPS 13","Ultrabook","13.3","IPS Panel Full HD 1920x1080","8","Windows 10","1.21","1629","Intel Core-i5","1.6","Intel UHD","256","SSD"
"118","HP","Spectre x360","2 in 1 Convertible","13.3","IPS Panel Full HD / Touchscreen 1920x1080","8","Windows 10","1.26","1398.99","Intel Core-i5","1.6","Intel UHD","256","SSD"
"119","HP","Probook 440","Notebook","14","Full HD 1920x1080","8","Windows 10","1.63","1084","Intel Core-i7","1.8","Intel UHD","512","SSD"
"120","Dell","Inspiron 7570","Notebook","15.6","IPS Panel Full HD 1920x1080","8","Windows 10","2.16","1130.33","Intel Core-i7","1.8","Nvidia GeForce","1024","HDD"
"121","Asus","X705UV-BX074T (i3-6006U/4GB/1TB/GeForce","Notebook","17.3","Full HD 1920x1080","4","Windows 10","2","564","Intel Core-i3","2","Nvidia GeForce","1024","HDD"
"122","Asus","VivoBook S15","Notebook","15.6","Full HD 1920x1080","8","Windows 10","1.7","1118","Intel Core-i7","1.8","Nvidia GeForce","256","SSD"
"123","Acer","Spin 3","Notebook","15.6","IPS Panel Full HD / Touchscreen 1920x1080","6","Windows 10","2.1","479","Intel Core-i3","2.4","Intel HD","1024","HDD"
"124","MSI","GS63VR 7RG","Gaming","15.6","Full HD 1920x1080","16","Windows 10","1.8","2241.5","Intel Core-i7","2.8","Nvidia GeForce","2048","HDD"
"125","Lenovo","IdeaPad 320-15IKBN","Notebook","15.6","Full HD 1920x1080","8","No OS","2.2","629","Intel Core-i5","2.5","Nvidia GeForce","256","SSD"
"126","HP","Probook 470","Notebook","17.3","Full HD 1920x1080","16","Windows 10","2.5","1271","Intel Core-i7","1.8","Nvidia GeForce","512","SSD"
"127","Acer","Aspire 3","Notebook","15.6","1366x768","4","Windows 10","2.1","451","AMD Series","3","AMD Radeon","256","SSD"
"128","HP","250 G6","Notebook","15.6","1366x768","4","No OS","1.86","259","Intel","1.6","Intel HD","500","HDD"
"129","HP","Probook 440","Notebook","14","Full HD 1920x1080","8","Windows 10","1.63","812","Intel Core-i5","1.6","Intel UHD","1024","HDD"
"130","Asus","E402WA-GA007T (E2-6110/4GB/64GB/W10","Notebook","14","1366x768","4","Windows 10 S","1.65","277.99","AMD Series","1.5","AMD Radeon","64","SSD"
"131","Dell","Inspiron 5770","Notebook","17.3","Full HD 1920x1080","16","Windows 10","2.8","1396","Intel Core-i7","1.8","AMD Radeon","2048","HDD"
"132","HP","ProBook 470","Notebook","17.3","Full HD 1920x1080","8","Windows 10","2.5","928","Intel Core-i5","1.6","Intel UHD","256","SSD"
"133","Dell","Inspiron 5567","Notebook","15.6","1366x768","8","Windows 10","2.36","638.99","Intel Core-i5","2.5","AMD Radeon","1024","HDD"
"134","Dell","Inspiron 3567","Notebook","15.6","Full HD 1920x1080","4","Windows 10","2.2","449","Intel Core-i3","2","AMD Radeon","1024","HDD"
"135","Acer","Swift 3","Ultrabook","14","IPS Panel Full HD 1920x1080","8","Windows 10","1.6","884","Intel Core-i7","1.8","Intel UHD","256","SSD"
"136","Acer","Aspire A515-51G-37JS","Notebook","15.6","Full HD 1920x1080","4","Windows 10","2.2","572","Intel Core-i3","2.7","Nvidia GeForce","256","SSD"
"137","HP","15-BS078nr (i7-7500U/8GB/1TB/W10)","Notebook","15.6","1366x768","8","Windows 10","2.05","598","Intel Core-i7","2.7","Intel HD","1024","HDD"
"138","HP","Probook 440","Notebook","14","Full HD 1920x1080","8","Windows 10","1.63","988","Intel Core-i7","1.8","Intel UHD","256","SSD"
"139","Lenovo","V110-15IAP (N3350/4GB/1TB/No","Notebook","15.6","1366x768","4","No OS","1.9","252.36","Intel","1.1","Intel HD","1024","HDD"
"140","Asus","FX753VD-GC086T (i5-7300HQ/8GB/1TB","Gaming","17.3","Full HD 1920x1080","8","Windows 10","3","938","Intel Core-i5","2.5","Nvidia GeForce","1024","HDD"
"141","Lenovo","IdeaPad 320-15IKBN","Notebook","15.6","Full HD 1920x1080","4","No OS","2.2","499","Intel Core-i5","2.5","Nvidia GeForce","1024","HDD"
"142","HP","Envy 13-AD007nv","Notebook","13.3","IPS Panel Full HD 1920x1080","4","Windows 10","1.32","699","Intel Core-i5","2.5","Intel HD","256","SSD"
"143","Acer","Aspire 5","Notebook","17.3","IPS Panel Full HD 1920x1080","4","Windows 10","3","655","Intel Core-i3","2.7","Nvidia GeForce","1024","HDD"
"144","Lenovo","ThinkPad E480","Notebook","14","IPS Panel Full HD 1920x1080","8","Windows 10","1.75","1116.02","Intel Core-i5","1.6","AMD Radeon","256","SSD"
"145","Lenovo","Legion Y520-15IKBN","Gaming","15.6","IPS Panel Full HD 1920x1080","8","No OS","2.4","869","Intel Core-i7","2.8","Nvidia GeForce","256","SSD"
"146","Toshiba","Satellite Pro","Notebook","15.6","1366x768","4","Windows 10","2.1","602","Intel Core-i5","2.3","Intel HD","500","HDD"
"147","HP","255 G6","Notebook","15.6","1366x768","4","Windows 10","1.86","369","AMD Series","2.5","AMD Radeon","256","SSD"
"148","Asus","ZenBook UX430UA","Ultrabook","14","Full HD 1920x1080","8","Windows 10","1.25","1099","Intel Core-i7","1.8","Intel UHD","256","SSD"
"149","HP","EliteBook Folio","Ultrabook","12.5","IPS Panel 4K Ultra HD / Touchscreen 3840x2160","8","Windows 10","0.97","2014","Intel","1.2","Intel HD","512","SSD"
"150","Asus","X541NA (N3350/4GB/1TB/FHD/W10)","Notebook","15.6","Full HD 1920x1080","4","Windows 10","2","344","Intel","1.1","Intel HD","1024","HDD"
"151","MSI","GE72MVR 7RG","Gaming","17.3","Full HD 1920x1080","16","Windows 10","2.9","2029","Intel Core-i7","2.8","Nvidia GeForce","1024","HDD"
"152","Acer","Aspire A315-51","Notebook","15.6","1366x768","4","Windows 10","2.1","447","Intel Core-i3","2","Intel HD","1024","HDD"
"153","Dell","Inspiron 5577","Gaming","15.6","Full HD 1920x1080","16","Windows 10","2.56","1249.26","Intel Core-i7","2.8","Nvidia GeForce","512","SSD"
"154","Dell","Inspiron 7567","Gaming","15.6","Full HD 1920x1080","8","Windows 10","2.62","899","Intel Core-i7","2.8","Nvidia GeForce","1024","Hybrid"
"155","Lenovo","V110-15IKB (i5-7200U/4GB/128GB/W10)","Notebook","15.6","1366x768","4","Windows 10","1.9","498","Intel Core-i5","2.5","Intel HD","128","SSD"
"156","MSI","GE73VR 7RE","Gaming","17.3","Full HD 1920x1080","16","Windows 10","2.8","1890","Intel Core-i7","2.8","Nvidia GeForce","1024","HDD"
"157","HP","EliteBook 840","Ultrabook","14","Full HD 1920x1080","4","Windows 10","1.48","1082","Intel Core-i5","2.7","Intel HD","256","SSD"
"158","HP","15-BS103nv (i5-8250U/6GB/256GB/Radeon","Notebook","15.6","Full HD 1920x1080","6","Windows 10","1.91","619","Intel Core-i5","1.6","AMD Radeon","256","SSD"
"159","Lenovo","Yoga 520-14IKB","2 in 1 Convertible","14","IPS Panel Full HD / Touchscreen 1920x1080","4","Windows 10","1.74","629","Intel Core-i3","2.4","Intel HD","256","SSD"
"160","Asus","ZenBook Flip","2 in 1 Convertible","13.3","Full HD / Touchscreen 1920x1080","8","Windows 10","1.1","1315","Intel Core-i5","1.6","Intel HD","256","SSD"
"161","Dell","Inspiron 5579","2 in 1 Convertible","15.6","Full HD / Touchscreen 1920x1080","8","Windows 10","1.56","1049","Intel Core-i7","1.8","Intel UHD","256","SSD"
"163","Toshiba","Satellite Pro","Notebook","15.6","1366x768","4","Windows 10","2.1","447","Intel Core-i3","2.2","Intel HD","500","HDD"
"164","Asus","X555BP-XX180T (A9-9420/4GB/1TB/Radeon","Notebook","15.6","1366x768","4","Windows 10","2.03","403","AMD Series","3","AMD Radeon","1024","HDD"
"165","Acer","Aspire A517-51G","Notebook","17.3","IPS Panel Full HD 1920x1080","4","Windows 10","3","805","Intel Core-i5","1.6","Nvidia GeForce","256","SSD"
"166","Dell","Inspiron 3576","Notebook","15.6","Full HD 1920x1080","8","Windows 10","2.13","728","Intel Core-i5","1.6","AMD Radeon","256","SSD"
"167","Lenovo","Legion Y520-15IKBN","Gaming","15.6","IPS Panel Full HD 1920x1080","16","Windows 10","2.5","1079","Intel Core-i7","2.8","Nvidia GeForce","256","SSD"
"168","Acer","Aspire A315-31","Notebook","15.6","1366x768","4","Windows 10","2.1","348","Intel","1.1","Intel HD","1024","HDD"
"169","MSI","GE63VR 7RE","Gaming","15.6","IPS Panel Full HD 1920x1080","16","Windows 10","2.4","1799","Intel Core-i7","2.8","Nvidia GeForce","1024","HDD"
"170","Acer","Aspire 3","Notebook","15.6","1366x768","4","Windows 10","2.1","363.51","Intel","1.1","Intel HD","1024","HDD"
